Date,Dollers,Rupees
01/01/2023,$1,₹82.7433
02/01/2023,$1,₹82.6856
03/01/2023,$1,₹82.7762
04/01/2023,$1,₹82.6606
05/01/2023,$1,₹82.6444
06/01/2023,$1,₹82.2735
07/01/2023,$1,₹82.2736
08/01/2023,$1,₹82.2616
09/01/2023,$1,₹82.1432
10/01/2023,$1,₹81.64
11/01/2023,$1,₹81.7087
12/01/2023,$1,₹81.0903
13/01/2023,$1,₹81.2851
14/01/2023,$1,₹81.2846
15/01/2023,$1,₹81.2847
16/01/2023,$1,₹81.6453
17/01/2023,$1,₹81.56
18/01/2023,$1,₹81.4209
19/01/2023,$1,₹81.255
20/01/2023,$1,₹80.9763
21/01/2023,$1,₹80.9762
22/01/2023,$1,₹80.9647
23/01/2023,$1,₹81.5146
24/01/2023,$1,₹81.6303
25/01/2023,$1,₹81.5048
26/01/2023,$1,₹81.4584
27/01/2023,$1,₹81.5235
28/01/2023,$1,₹81.5155
29/01/2023,$1,₹81.5058
30/01/2023,$1,₹81.5691
31/01/2023,$1,₹81.786
01/02/2023,$1,₹81.7158
02/02/2023,$1,₹82.0487
03/02/2023,$1,₹82.4916
04/02/2023,$1,₹82.494
05/02/2023,$1,₹82.3269
06/02/2023,$1,₹82.7218
07/02/2023,$1,₹82.7388
08/02/2023,$1,₹82.6583
09/02/2023,$1,₹82.5436
10/02/2023,$1,₹82.495
11/02/2023,$1,₹82.4891
12/02/2023,$1,₹82.5179
13/02/2023,$1,₹82.5611
14/02/2023,$1,₹82.8623
15/02/2023,$1,₹82.7207
16/02/2023,$1,₹82.7166
17/02/2023,$1,₹82.8083
18/02/2023,$1,₹82.8142
19/02/2023,$1,₹82.7731
20/02/2023,$1,₹82.7206
21/02/2023,$1,₹82.8987
22/02/2023,$1,₹82.8434
23/02/2023,$1,₹82.6357
24/02/2023,$1,₹82.9334
25/02/2023,$1,₹82.9291
26/02/2023,$1,₹82.9275
27/02/2023,$1,₹82.6728
28/02/2023,$1,₹82.6411
01/03/2023,$1,₹82.4181
02/03/2023,$1,₹82.3494
03/03/2023,$1,₹81.712
04/03/2023,$1,₹81.7128
05/03/2023,$1,₹81.7423
06/03/2023,$1,₹81.8576
07/03/2023,$1,₹82.0722
08/03/2023,$1,₹81.9603
09/03/2023,$1,₹82.0112
10/03/2023,$1,₹82.0184
11/03/2023,$1,₹81.9655
12/03/2023,$1,₹82.0187
13/03/2023,$1,₹82.4219
14/03/2023,$1,₹82.3091
15/03/2023,$1,₹82.7132
16/03/2023,$1,₹82.6418
17/03/2023,$1,₹82.5312
18/03/2023,$1,₹82.536
19/03/2023,$1,₹82.5441
20/03/2023,$1,₹82.5196
21/03/2023,$1,₹82.6627
22/03/2023,$1,₹82.5195
23/03/2023,$1,₹82.2535
24/03/2023,$1,₹82.3474
25/03/2023,$1,₹82.3474
26/03/2023,$1,₹82.3483
27/03/2023,$1,₹82.2404
28/03/2023,$1,₹82.1643
29/03/2023,$1,₹82.246
30/03/2023,$1,₹82.1028
31/03/2023,$1,₹82.1807
01/04/2023,$1,₹82.1806
02/04/2023,$1,₹82.2009
03/04/2023,$1,₹82.147
04/04/2023,$1,₹82.1382
05/04/2023,$1,₹81.96
06/04/2023,$1,₹81.8249
07/04/2023,$1,₹81.8752
08/04/2023,$1,₹81.8405
09/04/2023,$1,₹81.8405
10/04/2023,$1,₹81.9768
11/04/2023,$1,₹82.0786
12/04/2023,$1,₹81.9505
13/04/2023,$1,₹81.6914
14/04/2023,$1,₹81.8518
15/04/2023,$1,₹81.8421
16/04/2023,$1,₹81.8568
17/04/2023,$1,₹82.0042
18/04/2023,$1,₹82.1074
19/04/2023,$1,₹82.3337
20/04/2023,$1,₹82.1534
21/04/2023,$1,₹82.0407
22/04/2023,$1,₹82.0409
23/04/2023,$1,₹82.0361
24/04/2023,$1,₹81.8553
25/04/2023,$1,₹81.9782
26/04/2023,$1,₹81.7475
27/04/2023,$1,₹81.7159
28/04/2023,$1,₹81.7451
29/04/2023,$1,₹81.7417
30/04/2023,$1,₹81.7644
01/05/2023,$1,₹81.7803
02/05/2023,$1,₹81.7702
03/05/2023,$1,₹81.8045
04/05/2023,$1,₹81.6984
05/05/2023,$1,₹81.7296
06/05/2023,$1,₹81.7297
07/05/2023,$1,₹81.7198
08/05/2023,$1,₹81.7874
09/05/2023,$1,₹82.1017
10/05/2023,$1,₹81.913
11/05/2023,$1,₹82.0939
12/05/2023,$1,₹82.2563
13/05/2023,$1,₹82.1972
14/05/2023,$1,₹82.2277
15/05/2023,$1,₹82.2696
16/05/2023,$1,₹82.2949
17/05/2023,$1,₹82.4576
18/05/2023,$1,₹82.7262
19/05/2023,$1,₹82.8421
20/05/2023,$1,₹82.8431
21/05/2023,$1,₹82.883
22/05/2023,$1,₹82.8221
23/05/2023,$1,₹82.8965
24/05/2023,$1,₹82.705
25/05/2023,$1,₹82.7336
26/05/2023,$1,₹82.5648
27/05/2023,$1,₹82.5648
28/05/2023,$1,₹82.569
29/05/2023,$1,₹82.5798
30/05/2023,$1,₹82.6817
31/05/2023,$1,₹82.6689
01/06/2023,$1,₹82.28
02/06/2023,$1,₹82.4023
03/06/2023,$1,₹82.4015
04/06/2023,$1,₹82.4066
05/06/2023,$1,₹82.5063
06/06/2023,$1,₹82.5195
07/06/2023,$1,₹82.6246
08/06/2023,$1,₹82.4813
09/06/2023,$1,₹82.4247
10/06/2023,$1,₹82.4213
11/06/2023,$1,₹82.4349
12/06/2023,$1,₹82.3292
13/06/2023,$1,₹82.2905
14/06/2023,$1,₹82.045
15/06/2023,$1,₹81.91
16/06/2023,$1,₹81.9067
17/06/2023,$1,₹81.9067
18/06/2023,$1,₹81.9159
19/06/2023,$1,₹81.9824
20/06/2023,$1,₹81.9919
21/06/2023,$1,₹81.9439
22/06/2023,$1,₹81.9003
23/06/2023,$1,₹81.9707
24/06/2023,$1,₹81.9854
25/06/2023,$1,₹81.9608
26/06/2023,$1,₹82.0053
27/06/2023,$1,₹81.9996
28/06/2023,$1,₹82.0253
29/06/2023,$1,₹82.0735
30/06/2023,$1,₹82.0995
01/07/2023,$1,₹82.0995
02/07/2023,$1,₹82.0975
03/07/2023,$1,₹81.9673
04/07/2023,$1,₹82.0047
05/07/2023,$1,₹82.3945
06/07/2023,$1,₹82.77
07/07/2023,$1,₹82.6508
08/07/2023,$1,₹82.6467
09/07/2023,$1,₹82.6283
10/07/2023,$1,₹82.5359
11/07/2023,$1,₹82.3838
12/07/2023,$1,₹81.9746
13/07/2023,$1,₹82.0314
14/07/2023,$1,₹82.1337
15/07/2023,$1,₹82.1162
16/07/2023,$1,₹82.0752
17/07/2023,$1,₹82.0566
18/07/2023,$1,₹82.0756
19/07/2023,$1,₹82.0652
20/07/2023,$1,₹82.0838
21/07/2023,$1,₹82.003
22/07/2023,$1,₹82.004
23/07/2023,$1,₹82.0051
24/07/2023,$1,₹81.8143
25/07/2023,$1,₹81.9562
26/07/2023,$1,₹81.9757
27/07/2023,$1,₹82.3732
28/07/2023,$1,₹82.2598
29/07/2023,$1,₹82.2665
30/07/2023,$1,₹82.2634
31/07/2023,$1,₹82.2412
01/08/2023,$1,₹82.3371
02/08/2023,$1,₹82.6655
03/08/2023,$1,₹82.833
04/08/2023,$1,₹82.6767
05/08/2023,$1,₹82.6767
06/08/2023,$1,₹82.6869
07/08/2023,$1,₹82.7638
08/08/2023,$1,₹82.859
09/08/2023,$1,₹82.9243
10/08/2023,$1,₹82.9183
11/08/2023,$1,₹82.9566
12/08/2023,$1,₹82.9575
13/08/2023,$1,₹82.9558
14/08/2023,$1,₹83.4074
15/08/2023,$1,₹83.2043
16/08/2023,$1,₹83.2342
17/08/2023,$1,₹83.1014
18/08/2023,$1,₹83.157
19/08/2023,$1,₹83.1571
20/08/2023,$1,₹83.1606
21/08/2023,$1,₹83.1074
22/08/2023,$1,₹83.0844
